Name,Phone,Email,Website,Address,Rating,Category
SoVous,+1 212-575-1457,hello@sovous.com,https://sovous.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"9 E 68th St #1C, New York, NY 10065, United States",5.0,5.0(100)
Vee Medical,+1 332-256-5672,support@veemedicalnyc.com,https://www.veemedicalnyc.com/,"65 W 36th St. 10th fl, New York, NY 10018, United States",5.0,5.0(121)
Revival Med Spa,+1 347-542-5895,info@revivalmedicalspa.com,https://revivalmedicalspa.com/,"24 E 36th St, New York, NY 10016, United States",4.9,4.9(147)
Alea Aesthetics Medical Spa,+1 833-999-2532,services@aleamedspa.com,https://www.aleamedspa.com/,"311 E 38th St APT C1, New York, NY 10016, United States",4.2,4.2(84)
Jloo Beauty Experts,+1 917-905-4683,info@jloobeautyexperts.com,https://www.jloobeautyexperts.com/,"505 8th Ave Ste 23-03, New York, NY 10018, United States",4.9,4.9(145)
Baked Bar Medspa,+1 646-648-2307,info@bakedbarmedspa.com,http://bakedbarmedspa.com/?utm_source=GBP,"245 5th Ave Suite 308, New York, NY 10016, United States",4.7,4.7(56)
Peachy West SoHo,+1 917-694-8620,hello@peachystudio.com,https://peachystudio.com/pages/west-soho?y_source=1_MjYyMjMxMzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"281 Hudson St, New York, NY 10013, United States",4.9,"4.9(1,529)"
Red Carpet Aesthetics,+1 212-221-1930,info@redcarpetaesthetics.com,https://redcarpetaesthetics.com/?utm_source=google&utm_medium=localsearch&utm_campaign=gmb_manhattan,"30 E 60th St Ste 2502, New York, NY 10022, United States",4.9,4.9(135)
Aesthetika NYC,+1 347-292-9665,contact.aesthetikaNYC@gmail.com,https://www.aesthetika.nyc/,"83 Canal St Ste 200, New York, NY 10002, United States",5.0,5.0(48)
Re:forma Medspa and Wellness,+1 646-845-9411,hello@reformanyc.com,https://reformanyc.com/,"455 Madison Ave 8th Fl, New York, NY 10022, United States",5.0,5.0(13)
Derm Artisan,+1 646-846-7378,info@dermartisan.com,https://www.dermartisan.com/,"59 E 54th St Ste 94, New York, NY 10022, United States",5.0,5.0(106)
Zen Med Spa Aesthetics & Regenerative Medicine,+1 646-374-2524,webmaster@zenmedspanyc.com,https://www.zenmedspanyc.com/,"160 3rd Ave #1, New York, NY 10003, United States",5.0,5.0(1)
Skin Solutions Collective,+1 212-417-0002,HELLO@SKINSOLUTIONS.CO,https://www.skinsolutions.co/,"116 Chambers St Floor 4 Floor 3, New York, NY 10007, United States",5.0,5.0(251)
Renuev Med Spa,+1 347-629-1669,info@renuevmedspa.com,https://renuevmedspa.com/,"161 Water St Suite 2302, New York, NY 10038, United States",5.0,5.0(19)
Thérapie Clinic Upper East Side,+1 646-828-1110,hello@therapieclinic.us,https://therapieclinic.com/us/locations/upper-east-side?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=upper-east-side,"228 East 86th St, New York, NY 10028, United States",5.0,5.0(326)
Le Bon Skin Lab,+1 646-284-6882,INFO@LEBONSKINLAB.COM,http://lebonskinlab.com/,"30 E 60th St Ste 409 4th Floor, New York, NY 10022, United States",4.7,4.7(54)
