Name,Phone,Email,Website,Address,Rating,Category
Med Spa NYC: Beso Aesthetics,+1 212-970-2376,,https://besoaesthetics.com/,"1049 5th Ave Suite 1A, New York, NY 10028, United States",5.0,5.0(383)
M Beauty Studio & Spa,+1 347-538-4243,,https://mbeauty.studio/,"143 W 29th St Suite 205, New York, NY 10001, United States",4.9,4.9(267)
Timeless MedSpa NYC,+1 212-931-1877,,https://timelessbyvantage.com/,"791 Park Ave Apt 1b, New York, NY 10021, United States",5.0,5.0(12)
SoVous,+1 212-575-1457,,https://sovous.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"9 E 68th St #1C, New York, NY 10065, United States",5.0,5.0(100)
SkinTight MedSpa,+1 212-452-1235,,https://www.skintightmedspa.com/,"150 E 61st St, New York, NY 10065, United States",4.7,4.7(154)
LM Medical Spa,+1 212-901-0700,advanced.medical.gc@gmail.com,http://lmmedspanyc.com/,"22 E 41st St 4th Floor, New York, NY 10017, United States",5.0,5.0(37)
BeautyFix Medspa Flatiron,+1 212-366-4787,,http://www.beautyfixmedspa.com/,"18 W 23rd St 2nd floor, New York, NY 10010, United States",4.6,4.6(823)
MiracleFace MedSpa,+1 212-920-7790,,https://miraclefacemedspanyc.com/,"211 E 43rd St suite 716, New York, NY 10017, United States",4.5,4.5(161)
Skin Spa New York - Flatiron / Chelsea,+1 212-620-0033,,https://skinspanewyork.com/pages/flatiron-chelsea-spa,"11 W 20th St, New York, NY 10011, United States",4.3,4.3(252)
Glamoi Med Spa,+1 212-433-4526,,http://www.glamoi.com/?y_source=1_MTI3MjU3MTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"727 6th Ave 4th Floor, New York, NY 10010, United States",4.7,4.7(12)
IN•GLO Face and Body Sculpting,+1 212-647-8919,info@inglomedspa.com,https://inglomedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"115 W 27th St #1001, New York, NY 10001, United States",4.9,4.9(75)
Selfie House Of Beauty,+1 929-215-1525,,https://www.selfiehousenyc.com/,"109 W 38th St 1202, floor 12, New York, NY 10018, United States",4.9,4.9(729)
KUR Skin Lab,+1 212-951-0488,info@kurskinlab.com,https://kurskinlab.com/,"875 3rd Ave M-101, New York, NY 10022, United States",4.8,4.8(627)
Deep Blue Med Spa,+1 646-480-6226,,https://www.deepbluemedspa.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=deep+blue+med+spa+manhattan,"1040 Park Ave Suite 1BC, New York, NY 10028, United States",4.8,4.8
VJ MedSpa,+1 212-365-4783,,https://vjmednyc.com/,"1220 Lexington Ave Ste 2A, New York, NY 10028, United States",4.4,4.4(94)
"Eureka Body Care and Spa + Medspa, Botox",+1 212-858-0706,info@eurekabodycareandspa.com,http://www.eurekabodycareandspa.com/,"37 E 28th St 7th floor Suite #700, New York, NY 10016, United States",4.8,4.8(697)
Modify MedSpa - Suite 504,+1 212-634-1654,,https://modifymedspa.com/,"274 Madison Ave Suite 504, New York, NY 10016, United States",5.0,5.0(68)
Luxura Aesthetic Medical Spa,+1 888-859-4772,,https://luxuraspa.com/,"635 Madison Ave 1103 11th floor, New York, NY 10022, United States",4.8,4.8(20)
JECT,+1 917-938-7867,,https://ject.us/,"11 Christopher St, New York, NY 10014, United States",4.9,"4.9(1,362)"
Smooth Synergy Medical Spa & Laser Center,+1 212-397-0111,,https://smoothsynergy.com/,"180 E 79th St APT 1C, Manhattan, NY 10075, United States",5.0,5.0(200)
Manhattan Aesthetics,+1 212-960-8172,,https://www.manhattan-aesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"36 E 36th St 2nd Floor, New York, NY 10016, United States",4.9,4.9(124)
Thai Med Spa,+1 646-480-7555,,http://www.thaimedspa.com/,"307 W 38th St, New York, NY 10018, United States",5.0,5.0(27)
NYC Rejuvenation Clinic,+1 212-245-0070,,https://rejuvenationny.com/,"77 Irving Pl Suite 2A, New York, NY 10003, United States",4.5,4.5(344)
New Glam Tech Med Spa,+1 917-261-2428,Info@glamtechmedspa.com,http://www.glamtechmedspa.com/,"171 Madison Ave Suite 1001, New York, NY 10016, United States",5.0,5.0(22)
Peachy West SoHo,+1 917-694-8620,hello@peachystudio.com,https://peachystudio.com/pages/west-soho?y_source=1_MjYyMjMxMzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"281 Hudson St, New York, NY 10013, United States",4.9,"4.9(1,529)"
SkinLab NYC,+1 212-925-9503,,https://skinlab-nyc.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=nyc-skinlab,"1231 3rd Ave, New York, NY 10021, United States",4.8,4.8(227)
Restore Hyper Wellness,+1 646-344-1350,frontdeskNY003@restore.com,https://www.restore.com/locations/ny-new-york-chelsea-ny003?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk4OTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"555 6th Ave, New York, NY 10011, United States",4.9,4.9(479)
"Midtown Laser Spa + BOTOX, FILLERS",+1 917-526-9253,,http://www.midtownlaserspa.com/,"37 E 28th St 7th floor Suite #700, New York, NY 10016, United States",4.0,4.0(39)
Upper West Spa,+1 212-787-1696,info@upperwestspa.com,http://www.upperwestspa.com/,"189a Amsterdam Ave, New York, NY 10023, United States",5.0,5.0(165)
Alinea Medical Spa Acne Scar & Laser Skin Care NYC,+1 646-585-2393,,https://www.alineamedicalspa.com/?utm_campaign=gmb,"590 5th Ave #17th, New York, NY 10036, United States",4.5,4.5(163)
Luxury MedSpa,+1 212-641-0665,,http://www.luxuryspany.com/,"37 W 26th St Suite 400b, New York, NY 10010, United States",2.8,2.8(33)
Wildflower Spa,+1 866-686-8680,info@wildflowerspas.com,http://www.wildflowerspas.com/,"41 W 33rd St #200, New York, NY 10001, United States",4.9,"4.9(4,668)"
Manhattan Laser - Med Aesthetics Clinic | Medspa,+1 917-261-7087,,https://manhattan-laser.com/,"808 Lexington Ave, New York, NY 10065, United States",4.6,4.6(157)
Rachel Med Spa,+1 718-380-0023,,http://www.rachelmedspa.com/,"206 E 73rd St, New York, NY 10021, United States",4.6,4.6(22)
"VR MedSpa Aesthetic Salon, Manhattan",+1 347-370-7668,,http://vrmed.nyc/,"242 E 72nd St #1E, New York, NY 10021, United States",4.2,4.2(57)
House of Ness: Ness Medical,+1 212-495-9129,,http://houseofness.com/,"162 E 78th St 4th floor, New York, NY 10075, United States",4.6,4.6(143)
The Bodie Co,+1 917-618-9513,,https://thebodie.co/,"38 W 28th St 5th Floor, New York, NY 10001, United States",4.9,4.9(236)
Next Health,+1 310-620-8372,,https://www.next-health.com/pages/locations-new-york-city,"160 Madison Ave Entrance: The Parlor on 33rd Street Mezzanine Floor, New York, NY 10016, United States",5.0,"5.0(1,211)"
Shirin's Concierge Med Spa,+1 917-808-3196,,https://shirinsconciergemedspa.com/,"250 E 49th St APT 23CD, New York, NY 10017, United States",5.0,5.0(15)
Lov MedSpa New York,+1 929-658-7129,,https://lovmedspa.com/new-york/,"124 W 24th St Suite 41, New York, NY 10011, United States",5.0,5.0(72)
ZZ Day Spa,+1 212-904-1552,,http://zzdayspa.com/,"7 W 36th St. 7th Floor, New York, NY 10018, United States",4.9,"4.9(1,330)"
La Bella Laser Aesthetics,+1 646-628-1267,,https://labellalasernewyork.zoca.com/?utm_source=googlemaps&utm_medium=googlemapsprofile&utm_campaign=googlemaps,"33 Park Ave, New York, NY 10016, United States",4.9,4.9(156)
Diamond Advanced Aesthetics,+1 212-933-0434,info@diamondadvancedaesthetics.com,https://diamondadvancedaesthetics.com/,"161 Madison Ave #2w, New York, NY 10016, United States",5.0,5.0(402)
Rejuvenation MD NYC,+1 212-265-0500,,http://www.rejuvenationnyc.com/,"333 W 52nd St #808, New York, NY 10019, United States",4.5,4.5(142)
Rescue Spa,+1 866-772-2766,,https://www.rescuespa.com/,"29 E 19th St, New York, NY 10003, United States",4.4,4.4(313)
Comprehensive Dermatology DermWalk Great Neck,+1 516-452-9800,,http://dermwalk.com/,"200 Middle Neck Rd, Great Neck, NY 11021, United States",5.0,5.0
Labelle MedSpa,+1 212-947-4052,Info@labellespa.nyc,http://www.labellespa.nyc/,"37 W 26th St Suite 408b, New York, NY 10010, United States",3.6,3.6(86)
"Reset Cosmetic Manhattan | Body Contouring, Botox, BBL NYC",+1 929-661-9103,,https://www.resetmedclinic.com/med-spa-manhattan/,"274 Madison Ave Ste 1004, New York, NY 10016, United States",5.0,5.0(18)
Fayced Aesthetics NYC,+1 646-347-4800,,https://faycedaestheticsnyc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"172 E 75th St, New York, NY 10021, United States",5.0,5.0(448)
"Allure Day Spa & Hair Design - Best Head Spa, Facial, Massage, and Beauty Salon near Me NYC",+1 212-644-5500,,http://alluredayspa.com/,"139 E 55th St, New York, NY 10022, United States",4.9,"4.9(1,325)"
SKN Spa,+1 212-581-1398,,http://sknspanyc.com/,"726 10th Ave, New York, NY 10019, United States",4.6,4.6(243)
Haitang Eastern Therapies,+1 917-997-9999,,http://www.haitangeasterntherapies.com/,"228 E 52nd St, New York, NY 10022, United States",4.8,4.8
BodyFactory Skin Care,+1 646-343-5747,hello@bodyfactoryskincare.com,http://bodyfactoryskincare.com/,"726 9th Ave, New York, NY 10019, United States",4.4,4.4(410)
MedSpa Clubs - Manhattan,+1 646-370-0388,,https://medspa.healthkeygroup.com/,"139 Centre St STE 202, New York, NY 10013, United States",5.0,5.0(1)
SkinSpirit Tribeca,+1 212-661-4100,tribeca@skinspirit.com,https://www.skinspirit.com/locations/tribeca,"418 Washington St Unit 1B, New York, NY 10013, United States",4.6,4.6(189)
Altman Aesthetic Center Med Spa - Manhattan,+1 212-772-3220,manhattan@altmanspa.com,https://altmanaestheticscenter.com/manhattan/?utm_source=google&utm_medium=organic&utm_campaign=gmb-manhattan,"853 5th Ave, New York, NY 10065, United States",5.0,5.0(27)
Juvly Aesthetics,+1 614-500-7000,,https://www.juvly.com/?y_source=1_MTAwNDg3OTYzMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"15 W 39th St 4th floor, New York, NY 10018, United States",4.6,4.6(145)
Central Park Beauty,+1 212-246-2063,,https://centralparkbeauty.com/,"200 W 57th St #1403, New York, NY 10019, United States",4.8,4.8(83)
Clean Market,+1 646-850-6300,,http://www.cleanmarket.com/,"240 E 54th St, New York, NY 10022, United States",4.9,4.9(683)
Le Clinique NYC Laser Hair Removal,+1 646-406-9042,,http://www.lecliniquenyc.com/,"116 Central Park South Second Floor, # 3, New York, NY 10019, United States",4.9,4.9(69)
Clear Laser City Clinic,+1 212-697-1802,,https://www.clearlaserskin.com/,"501 5th Ave #1601, New York, NY 10017, United States",4.9,4.9(329)
Bared Monkey Laser Spa,+1 212-256-9777,,https://www.baredmonkey.com/,"38 W 32nd St #1500, New York, NY 10001, United States",4.9,"4.9(1,420)"
Nush Skincare,+1 646-984-2946,,http://www.nushskincare.com/,"Inside Pavillion Building, 500 E 77th St, New York, NY 10162, United States",4.6,4.6(111)
Vode Wellness Med Spa,+1 929-288-0656,info@vodewellness.com,https://www.vodewellness.com/,"18 E 41st St 14th Floor, New York, NY 10017, United States",5.0,5.0(9)
Park Avenue Plastic Surgery Med Spa,+1 212-472-8700,,https://www.parkavenueplasticsurgery.com/medspa/,"950 Park Ave, New York, NY 10028, United States",5.0,5.0(7)
Yuzu Spa - Facials & Head massage,+1 888-621-2987,,https://yuzuspa.com/,"135 W 29th St Fl 5 Suite 504, New York, NY 10001, United States",4.9,4.9(278)
Equinox Hotel New York,+1 212-812-9200,,https://equinox-hotels.com/nyc/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,"33 Hudson Yards, New York, NY 10001, United States",4.4,4.4(705)
Plump Cosmetics & Injectables,+1 646-346-8809,info@getplump.com,http://www.getplump.com/?UTM_source=GBP_listing&UTM_medium=organic&source=gmb,"104 Reade St, New York, NY 10013, United States",4.9,4.9(118)
Le Bon Skin Lab,+1 646-284-6882,,http://lebonskinlab.com/,"30 E 60th St Suite 409 4th Floor, New York, NY 10022, United States",4.7,4.7(53)
Le Salon Day Spa,+1 212-861-5109,LeSalonDaySpaNY@gmail.com,http://www.lesalondayspa.com/,"145 E 72nd St, New York, NY 10021, United States",4.8,4.8(37)
Body Mechanics Orthopedic Massage,+1 212-600-4808,info@bodymechanicsnyc.com,https://www.bodymechanicsnyc.com/,"1 W 34th St. #204, New York, NY 10001, United States",4.9,4.9(451)
Skin Bar NYC,+1 212-889-1175,,http://www.skinbarnyc.com/,"9 E 45th St 6th Floor, New York, NY 10017, United States",4.5,4.5(99)
Alea Aesthetics Medical Spa,+1 833-999-2532,services@aleamedspa.com,https://www.aleamedspa.com/,"311 E 38th St APT C1, New York, NY 10016, United States",4.2,4.2(84)
Ultherapy New York,+1 718-743-5616,,https://visodentnyc.com/ultherapy/,"101 E 79th St Office A, New York, NY 10075, United States",4.9,4.9(44)
Skinly Aesthetics,+1 212-774-4264,info@skinlyaesthetics.com,https://skinlyaesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Skinly-Aesthetics&utm_content=website,"157 E 64th St 2nd floor, New York, NY 10065, United States",4.6,4.6(445)
Skin Shine Med Spa,+1 347-952-4743,,http://www.skinshinemedspa.com/,"112 E 23rd St #4B, New York, NY 10010, United States",5.0,5.0(1)
K Wellness Holistic Healing Medical Spa,+1 212-760-7575,kwellness38@gmail.com,https://kwellness.org/,"38 W 32nd St #1300, New York, NY 10001, United States",5.0,5.0(47)
"Dr V's NYC Botox Injection Treatments, Juvederm & Morpheus 8 Med Spa",+1 917-363-5223,,https://www.mymdspa.com/,"555 Madison Ave #500, New York, NY 10022, United States",5.0,5.0(1)
Center Aesthetic & Dermatology,+1 212-433-3344,,https://www.centeraesthetic.com/,"37 Union Square W Fl 4, New York, NY 10003, United States",4.9,4.9(288)
FACE Med Spa Training,+1 646-679-2443,,https://doctorlanna.com/providers/face-med-training/,"140 W 58th St Main Floor - Suite A - Ring 06A, New York, NY 10019, United States",5.0,5.0(26)
Blue Lagoon Holistic Med Spa,+1 347-785-8780,,https://www.accmedspa.com/,"37-63 81st St, Jackson Heights, NY 11372, United States",4.9,4.9(139)
Livinz Medspa - Manhattan,+1 929-933-8357,,http://www.livinzmedspa.com/,"36 W 44th St Ste 600b, New York, NY 10036, United States",5.0,5.0(1)
KHROM MEDSPA & WELLNESS,+1 718-408-6100,,https://www.khrommedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"239 Court St, Brooklyn, NY 11201, United States",4.8,4.8(384)
Precision Aesthetics™ MD,+1 212-799-1411,,https://www.precisionaestheticsmd.com/,"10 W 74th St #1a, New York, NY 10023, United States",5.0,5.0(38)
Glo by Glen Facial Optimization,+1 917-456-2854,,https://globyglenmd.com/,"45 Main St, Brooklyn, NY 11201, United States",5.0,5.0(184)
Velour Medical,+1 212-931-6220,,http://www.velourmd.com/,"1239 Broadway Floor 13, New York, NY 10001, United States",4.9,4.9(592)
Atelier Confidence,+1 929-673-3389,,http://atelier-confidence.com/,"26 Court St #1211, Brooklyn, NY 11201, United States",4.9,4.9(135)
Lov MedSpa Brooklyn,+1 347-514-9311,,,,4.8,4.8(350)
Radiant Medspa,+1 929-701-0111,,https://radiantaestheticsnyc.com/,"1 Boerum Pl 2 Floor, Brooklyn, NY 11201, United States",5.0,5.0(12)
MM Aesthetics Med Spa: Marina Musalyants RN,+1 929-389-3311,Marina@mmaestheticss.com,https://www.mmaestheticss.com/,"68 Adams St, Brooklyn, NY 11201, United States",4.9,4.9(185)
SunMi James Aesthetics,+1 917-282-3478,,https://www.sunmijames.com/,"120 Montague St, Brooklyn, NY 11201, United States",4.7,4.7(13)
